ts_iso,ts_ms,run_id,replicate,experiment_elapsed_s,experiment_phase,selected_fault_code,selected_fault_severity,asset_id,schema_version,model_version,sequence_id,sequence_gap,stream_status,synchronisation_status,control_mode,operating_mode,speed_command_pct,target_rpm,actual_rpm,speed_error_rpm,process_heat_load_w,effective_process_heat_load_w,mechanical_load,effective_mechanical_load,ambient_temperature_c,temperature_c,current_a,current_multiplier,vibration_g,vibration_offset_g,power_w,energy_wh,cooling_rate_c_per_s,cooling_efficiency,thermal_resistance_c_per_w,legacy_thermal_eff_index,co2_g,health_overall,health_status,embedded_fault_code,embedded_fault_class_id,embedded_fault_binary_label,embedded_fault_label,embedded_fault_severity,embedded_fault_active,anomaly,ai_fault_code,ai_fault_label,ai_confidence,ai_severity,accepted_commands,rejected_commands
2026-08-19T20:06:05.233Z,1787169965233,FAN_DT_001_F4_S09_R01_20260819T200604,1,0.405,BASELINE,F4,0.9,FAN_DT_001,3.0,process-model-3.0.0-build3,10865,1,LIVE,SYNCHRONISED,AUTOMATIC,NORMAL,65,1950,1950,0,145,145,0.3,0.3,25.55374,38.4,1.028,1,0.0254,0,207.97,65.2721,-0.01045,1,0.18,5.027,15.2084,100,HEALTHY,F0,0,0,healthy,0,0,0,,,,,34,0
2026-08-19T20:06:05.685Z,1787169965685,FAN_DT_001_F4_S09_R01_20260819T200604,1,0.867,BASELINE,F4,0.9,FAN_DT_001,3.0,process-model-3.0.0-build3,10866,1,LIVE,SYNCHRONISED,AUTOMATIC,NORMAL,65,1950,1950,0,145,145,0.3,0.3,25.5666,38.42,1.028,1,0.0254,0,207.97,0.0062,-0.01049,1,0.18,5.044,0.0015,100,HEALTHY,F0,0,0,healthy,0,0,0,,,,,35,0
2026-08-19T20:06:06.606Z,1787169966606,FAN_DT_001_F4_S09_R01_20260819T200604,1,1.776,BASELINE,F4,0.9,FAN_DT_001,3.0,process-model-3.0.0-build3,10867,1,LIVE,SYNCHRONISED,AUTOMATIC,NORMAL,65,1950,1950,0,145,145,0.3,0.3,25.57932,38.43,1.028,1,0.0254,0,207.97,0.0655,-0.01052,1,0.18,5.058,0.0153,100,HEALTHY,F0,0,0,healthy,0,0,0,,,,,35,0
2026-08-19T20:06:07.609Z,1787169967609,FAN_DT_001_F4_S09_R01_20260819T200604,1,2.784,BASELINE,F4,0.9,FAN_DT_001,3.0,process-model-3.0.0-build3,10868,1,LIVE,SYNCHRONISED,AUTOMATIC,NORMAL,65,1950,1950,0,145,145,0.3,0.3,25.59178,38.44,1.028,1,0.0254,0,207.97,0.1249,-0.01057,1,0.18,5.081,0.0291,100,HEALTHY,F0,0,0,healthy,0,0,0,,,,,35,0
2026-08-19T20:06:08.637Z,1787169968637,FAN_DT_001_F4_S09_R01_20260819T200604,1,3.808,BASELINE,F4,0.9,FAN_DT_001,3.0,process-model-3.0.0-build3,10869,1,LIVE,SYNCHRONISED,AUTOMATIC,NORMAL,65,1950,1950,0,145,145,0.3,0.3,25.60391,38.45,1.028,1,0.0254,0,207.97,0.1842,-0.01058,1,0.18,5.086,0.0429,100,HEALTHY,F0,0,0,healthy,0,0,0,,,,,35,0
2026-08-19T20:06:09.665Z,1787169969665,FAN_DT_001_F4_S09_R01_20260819T200604,1,4.834,BASELINE,F4,0.9,FAN_DT_001,3.0,process-model-3.0.0-build3,10870,1,LIVE,SYNCHRONISED,AUTOMATIC,NORMAL,65,1950,1950,0,145,145,0.3,0.3,25.6157,38.46,1.028,1,0.0254,0,207.97,0.2434,-0.0106,1,0.18,5.098,0.0567,100,HEALTHY,F0,0,0,healthy,0,0,0,,,,,35,0
2026-08-19T20:06:10.695Z,1787169970695,FAN_DT_001_F4_S09_R01_20260819T200604,1,5.87,BASELINE,F4,0.9,FAN_DT_001,3.0,process-model-3.0.0-build3,10871,1,LIVE,SYNCHRONISED,AUTOMATIC,NORMAL,65,1950,1950,0,145,145,0.3,0.3,25.62722,38.47,1.028,1,0.0254,0,207.97,0.3029,-0.01059,1,0.18,5.091,0.0706,100,HEALTHY,F0,0,0,healthy,0,0,0,,,,,35,0
2026-08-19T20:06:11.724Z,1787169971724,FAN_DT_001_F4_S09_R01_20260819T200604,1,6.904,BASELINE,F4,0.9,FAN_DT_001,3.0,process-model-3.0.0-build3,10872,1,LIVE,SYNCHRONISED,AUTOMATIC,NORMAL,65,1950,1950,0,145,145,0.3,0.3,25.63836,38.48,1.028,1,0.0254,0,207.97,0.3621,-0.01061,1,0.18,5.102,0.0844,100,HEALTHY,F0,0,0,healthy,0,0,0,,,,,35,0
2026-08-19T20:06:12.818Z,1787169972818,FAN_DT_001_F4_S09_R01_20260819T200604,1,8.817,BASELINE,F4,0.9,FAN_DT_001,3.0,process-model-3.0.0-build3,10873,1,LIVE,SYNCHRONISED,AUTOMATIC,NORMAL,65,1950,1950,0,145,145,0.3,0.3,25.64926,38.49,1.028,1,0.0254,0,207.97,0.4217,-0.01061,1,0.18,5.102,0.0983,100,HEALTHY,F0,0,0,healthy,0,0,0,,,,,35,0
2026-08-19T20:06:14.281Z,1787169974281,FAN_DT_001_F4_S09_R01_20260819T200604,1,9.527,BASELINE,F4,0.9,FAN_DT_001,3.0,process-model-3.0.0-build3,10874,1,LIVE,SYNCHRONISED,AUTOMATIC,NORMAL,65,1950,1950,0,145,145,0.3,0.3,25.65976,38.5,1.028,1,0.0254,0,207.97,0.481,-0.01061,1,0.18,5.102,0.1121,100,HEALTHY,F0,0,0,healthy,0,0,0,,,,,35,0
2026-08-19T20:06:14.895Z,1787169974895,FAN_DT_001_F4_S09_R01_20260819T200604,1,10.066,BASELINE,F4,0.9,FAN_DT_001,3.0,process-model-3.0.0-build3,10875,1,LIVE,SYNCHRONISED,AUTOMATIC,NORMAL,65,1950,1950,0,145,145,0.3,0.3,25.66994,38.51,1.028,1,0.0254,0,207.97,0.5405,-0.01057,1,0.18,5.084,0.1259,100,HEALTHY,F0,0,0,healthy,0,0,0,,,,,35,0
2026-08-19T20:06:15.845Z,1787169975845,FAN_DT_001_F4_S09_R01_20260819T200604,1,11.016,BASELINE,F4,0.9,FAN_DT_001,3.0,process-model-3.0.0-build3,10876,1,LIVE,SYNCHRONISED,AUTOMATIC,NORMAL,65,1950,1950,0,145,145,0.3,0.3,25.67972,38.52,1.028,1,0.0254,0,207.97,0.5998,-0.01056,1,0.18,5.08,0.1397,100,HEALTHY,F0,0,0,healthy,0,0,0,,,,,35,0
2026-08-19T20:06:16.871Z,1787169976871,FAN_DT_001_F4_S09_R01_20260819T200604,1,12.041,BASELINE,F4,0.9,FAN_DT_001,3.0,process-model-3.0.0-build3,10877,1,LIVE,SYNCHRONISED,AUTOMATIC,NORMAL,65,1950,1950,0,145,145,0.3,0.3,25.68921,38.53,1.028,1,0.0254,0,207.97,0.6594,-0.01054,1,0.18,5.066,0.1536,100,HEALTHY,F0,0,0,healthy,0,0,0,,,,,35,0
2026-08-19T20:06:17.909Z,1787169977909,FAN_DT_001_F4_S09_R01_20260819T200604,1,13.079,BASELINE,F4,0.9,FAN_DT_001,3.0,process-model-3.0.0-build3,10878,1,LIVE,SYNCHRONISED,AUTOMATIC,NORMAL,65,1950,1950,0,145,145,0.3,0.3,25.69827,38.55,1.028,1,0.0254,0,207.97,0.7185,-0.01051,1,0.18,5.055,0.1674,100,HEALTHY,F0,0,0,healthy,0,0,0,,,,,35,0
2026-08-19T20:06:18.935Z,1787169978935,FAN_DT_001_F4_S09_R01_20260819T200604,1,14.105,BASELINE,F4,0.9,FAN_DT_001,3.0,process-model-3.0.0-build3,10879,1,LIVE,SYNCHRONISED,AUTOMATIC,NORMAL,65,1950,1950,0,145,145,0.3,0.3,25.70704,38.56,1.028,1,0.0254,0,207.97,0.7781,-0.01047,1,0.18,5.037,0.1813,100,HEALTHY,F0,0,0,healthy,0,0,0,,,,,35,0
2026-08-19T20:06:19.970Z,1787169979970,FAN_DT_001_F4_S09_R01_20260819T200604,1,15.139,BASELINE,F4,0.9,FAN_DT_001,3.0,process-model-3.0.0-build3,10880,1,LIVE,SYNCHRONISED,AUTOMATIC,NORMAL,65,1950,1950,0,145,145,0.3,0.3,25.71539,38.57,1.028,1,0.0254,0,207.97,0.8374,-0.01043,1,0.18,5.017,0.1951,100,HEALTHY,F0,0,0,healthy,0,0,0,,,,,35,0
2026-08-19T20:06:20.987Z,1787169980987,FAN_DT_001_F4_S09_R01_20260819T200604,1,16.157,BASELINE,F4,0.9,FAN_DT_001,3.0,process-model-3.0.0-build3,10881,1,LIVE,SYNCHRONISED,AUTOMATIC,NORMAL,65,1950,1950,0,145,145,0.3,0.3,25.72334,38.58,1.028,1,0.0254,0,207.97,0.8964,-0.01039,1,0.18,4.997,0.2089,100,HEALTHY,F0,0,0,healthy,0,0,0,,,,,35,0
2026-08-19T20:06:22.045Z,1787169982045,FAN_DT_001_F4_S09_R01_20260819T200604,1,17.215,BASELINE,F4,0.9,FAN_DT_001,3.0,process-model-3.0.0-build3,10882,1,LIVE,SYNCHRONISED,AUTOMATIC,NORMAL,65,1950,1950,0,145,145,0.3,0.3,25.73098,38.59,1.028,1,0.0254,0,207.97,0.956,-0.01035,1,0.18,4.977,0.2227,100,HEALTHY,F0,0,0,healthy,0,0,0,,,,,35,0
